文章ID,词数,原始ZeroGPT,原始GPTZero,最终ZeroGPT,最终GPTZero,GPTZero分类,GPTZero降低
ai_16,668,100.00%,99.26%,1.24%,79.78%,ai,19.47%
ai_15,588,96.77%,99.71%,0.92%,53.73%,ai,45.98%
ai_8,862,100.00%,99.47%,16.09%,69.89%,ai,29.57%
ai_5,613,100.00%,87.83%,0.36%,80.36%,ai,7.47%
